Time,Name,ID,CPUPerc,MemUsage,MemTotal,MemPerc,NetInput,NetOutput,BlockInput,BlockOutput,PIDs
1632098598,mongo,27794d582dbc,56.67%,673.5MiB,2GiB,32.89%,3.49GB,4.96GB,795kB,1.18GB,35
1632098598,acmeair,c1688cddc438,95.50%,9.309MiB,2GiB,0.45%,8.99GB,10.2GB,401kB,4.1kB,23
1632098603,mongo,27794d582dbc,55.88%,674.7MiB,2GiB,32.94%,3.5GB,4.97GB,795kB,1.19GB,35
1632098603,acmeair,c1688cddc438,94.43%,9.309MiB,2GiB,0.45%,9GB,10.2GB,401kB,4.1kB,23
1632098608,mongo,27794d582dbc,55.84%,675.8MiB,2GiB,33.00%,3.5GB,4.98GB,795kB,1.19GB,35
1632098608,acmeair,c1688cddc438,95.40%,9.32MiB,2GiB,0.46%,9.02GB,10.2GB,401kB,4.1kB,23
1632098613,mongo,27794d582dbc,56.41%,677MiB,2GiB,33.05%,3.51GB,4.99GB,795kB,1.19GB,35
1632098613,acmeair,c1688cddc438,94.84%,9.309MiB,2GiB,0.45%,9.03GB,10.2GB,401kB,4.1kB,23
1632098618,mongo,27794d582dbc,56.12%,677.8MiB,2GiB,33.10%,3.51GB,5GB,795kB,1.19GB,35
1632098618,acmeair,c1688cddc438,95.69%,9.309MiB,2GiB,0.45%,9.04GB,10.2GB,401kB,4.1kB,23
1632098623,mongo,27794d582dbc,57.71%,679.5MiB,2GiB,33.18%,3.52GB,5GB,795kB,1.19GB,35
1632098623,acmeair,c1688cddc438,96.78%,9.293MiB,2GiB,0.45%,9.06GB,10.3GB,401kB,4.1kB,23
1632098628,mongo,27794d582dbc,56.91%,680.8MiB,2GiB,33.24%,3.52GB,5.01GB,795kB,1.19GB,35
1632098628,acmeair,c1688cddc438,95.53%,9.293MiB,2GiB,0.45%,9.07GB,10.3GB,401kB,4.1kB,23
1632098633,mongo,27794d582dbc,57.19%,681.9MiB,2GiB,33.29%,3.53GB,5.02GB,795kB,1.2GB,35
1632098633,acmeair,c1688cddc438,95.85%,9.293MiB,2GiB,0.45%,9.09GB,10.3GB,401kB,4.1kB,23
1632098638,mongo,27794d582dbc,56.79%,683.4MiB,2GiB,33.37%,3.53GB,5.03GB,795kB,1.2GB,35
1632098638,acmeair,c1688cddc438,94.68%,9.293MiB,2GiB,0.45%,9.1GB,10.3GB,401kB,4.1kB,23
1632098643,mongo,27794d582dbc,56.77%,684.9MiB,2GiB,33.44%,3.54GB,5.03GB,795kB,1.2GB,35
1632098643,acmeair,c1688cddc438,95.36%,9.293MiB,2GiB,0.45%,9.11GB,10.3GB,401kB,4.1kB,23
1632098648,mongo,27794d582dbc,56.74%,686.2MiB,2GiB,33.51%,3.54GB,5.04GB,795kB,1.2GB,35
1632098648,acmeair,c1688cddc438,95.50%,9.293MiB,2GiB,0.45%,9.13GB,10.3GB,401kB,4.1kB,23
1632098653,mongo,27794d582dbc,57.10%,687.8MiB,2GiB,33.58%,3.55GB,5.05GB,795kB,1.2GB,35
1632098653,acmeair,c1688cddc438,94.78%,9.293MiB,2GiB,0.45%,9.14GB,10.3GB,401kB,4.1kB,23
1632098658,mongo,27794d582dbc,58.22%,688.6MiB,2GiB,33.62%,3.55GB,5.06GB,795kB,1.2GB,35
1632098658,acmeair,c1688cddc438,94.66%,9.293MiB,2GiB,0.45%,9.15GB,10.4GB,401kB,4.1kB,23
1632098663,mongo,27794d582dbc,57.45%,689.5MiB,2GiB,33.67%,3.56GB,5.06GB,795kB,1.21GB,35
